id,sentence,emotion,layer,confidence
0,You could sense the acceptance in their voice.,empathy,2,0.82
1,They experienced understanding others in a quiet moment.,empathy,2,0.92
2,It reflected a genuine feeling of afraid.,fear,1,0.93
3,It was a moment marked by understanding others.,empathy,2,0.92
4,A sudden feeling of sympathy filled their heart.,empathy,2,0.92
5,They experienced expressed regret in a quiet moment.,regret,2,0.95
6,You could sense the regret in their voice.,regret,2,0.95
7,That experience left them with lasting compassion.,compassion,3,0.92
8,The situation brought out deep human connection.,empathy,2,0.85
9,That experience left them with lasting mercy.,compassion,3,0.92
10,A sudden feeling of gratitude filled their heart.,gratitude,3,0.92
11,It reflected a genuine feeling of sympathy.,empathy,2,0.93
12,It was a moment marked by human connection.,empathy,2,0.72
13,It was a moment marked by deeply moved.,sadness,1,0.83
14,There was a clear sense of compassion throughout the day.,compassion,3,0.92
15,Everyone noticed the expressed sadness in that moment.,sadness,1,0.95
16,They experienced sad in a quiet moment.,sadness,1,0.92
17,They struggled with sign of hope but tried to stay composed.,hope,2,0.83
18,There was a clear sense of expressed regret throughout the day.,regret,2,0.93
19,You could sense the felt regret in their voice.,regret,2,0.92
20,You could sense the isolation in their voice.,loneliness,2,0.92
21,They struggled with peace of mind but tried to stay composed.,fear,1,0.73
22,You could sense the expressed hope in their voice.,hope,2,0.92
23,The situation brought out deep awe.,awe,3,0.95
24,It reflected a genuine feeling of expressed regret.,regret,2,0.95
25,They struggled with felt sympathy but tried to stay composed.,empathy,2,0.83
26,They struggled with understanding others but tried to stay composed.,empathy,2,0.72
27,There was a clear sense of thankful throughout the day.,gratitude,3,0.92
28,They experienced understanding others in a quiet moment.,empathy,2,0.93
29,There was a clear sense of frightened throughout the day.,fear,1,0.92
30,That experience left them with lasting acceptance.,inner_peace,3,0.85
31,They experienced delight in a quiet moment.,joy,1,0.95
32,A sudden feeling of sign of hope filled their heart.,hope,2,0.95
33,They struggled with public anger but tried to stay composed.,anger,1,0.83
34,It reflected a genuine feeling of grief.,sadness,1,0.98
35,They experienced connectedness in a quiet moment.,inner_peace,3,0.92
36,That experience left them with lasting wonder.,awe,3,0.93
37,You could sense the calmness in their voice.,inner_peace,3,0.83
38,They struggled with grateful but tried to stay composed.,sadness,1,0.72
39,You could sense the understanding others in their voice.,empathy,2,0.93
40,They experienced joy in a quiet moment.,joy,1,0.95
41,It reflected a genuine feeling of expressed joy.,joy,1,0.95
42,Everyone noticed the felt regret in that moment.,regret,2,0.92
43,It was a moment marked by letting go.,regret,2,0.72
44,There was a clear sense of hope throughout the day.,hope,2,0.93
45,The situation brought out deep acceptance.,inner_peace,3,0.92
46,The situation brought out deep expressed sadness.,sadness,1,0.95
47,They experienced expressed hope in a quiet moment.,hope,2,0.95
48,They struggled with terrified but tried to stay composed.,fear,1,0.92
49,Everyone noticed the celebration in that moment.,joy,1,0.92
50,You could sense the loneliness in their voice.,loneliness,2,0.92
51,They struggled with human connection but tried to stay composed.,sadness,1,0.73
52,That experience left them with lasting connectedness.,hope,2,0.82
53,It reflected a genuine feeling of understanding others.,empathy,2,0.92
54,They struggled with connectedness but tried to stay composed.,loneliness,2,0.83
55,It was a moment marked by sense of awe.,awe,3,0.93
56,It was a moment marked by expressed hope.,hope,2,0.97
57,A sudden feeling of thankful filled their heart.,gratitude,3,0.93
58,It was a moment marked by hope.,hope,2,0.95
59,Everyone noticed the regret in that moment.,regret,2,0.98
60,There was a clear sense of remorse throughout the day.,regret,2,0.92
61,They experienced hope in a quiet moment.,hope,2,0.92
62,You could sense the remorse in their voice.,regret,2,0.92
63,It was a moment marked by isolation.,loneliness,2,0.83
64,It reflected a genuine feeling of isolation.,loneliness,2,0.92
65,The situation brought out deep connectedness.,empathy,2,0.83
66,The situation brought out deep gratitude.,gratitude,3,0.93
67,A sudden feeling of felt sympathy filled their heart.,empathy,2,0.95
68,They struggled with felt sympathy but tried to stay composed.,empathy,2,0.83
69,You could sense the happiness in their voice.,joy,1,0.92
70,You could sense the acceptance in their voice.,empathy,2,0.83
71,It reflected a genuine feeling of public anger.,anger,1,0.92
72,You could sense the isolation in their voice.,loneliness,2,0.92
73,They experienced letting go in a quiet moment.,sadness,1,0.83
74,You could sense the fear in their voice.,fear,1,0.95
75,They experienced compassion in a quiet moment.,compassion,3,0.95
76,They experienced understanding others in a quiet moment.,empathy,2,0.83
77,They experienced mourning in a quiet moment.,sadness,1,0.92
78,It was a moment marked by angry.,anger,1,0.95
79,They struggled with sympathy but tried to stay composed.,empathy,2,0.82
80,They experienced sign of hope in a quiet moment.,hope,2,0.92
81,The situation brought out deep loneliness.,loneliness,2,0.95
82,They experienced empathy in a quiet moment.,empathy,2,0.95
83,A sudden feeling of fear filled their heart.,fear,1,0.98
84,There was a clear sense of expressed hope throughout the day.,hope,2,0.95
85,It was a moment marked by thankful.,gratitude,3,0.92
86,That experience left them with lasting deeply moved.,sadness,1,0.92
87,It was a moment marked by expressed gratitude.,gratitude,3,0.95
88,It was a moment marked by social isolation.,loneliness,2,0.92
89,That experience left them with lasting loneliness.,loneliness,2,0.95
90,The situation brought out deep empathy.,empathy,2,0.95
91,It reflected a genuine feeling of public anger.,anger,1,0.92
92,Everyone noticed the compassionate in that moment.,empathy,2,0.92
93,The situation brought out deep lonely.,loneliness,2,0.95
94,Everyone noticed the understanding others in that moment.,empathy,2,0.92
95,A sudden feeling of felt regret filled their heart.,regret,2,0.92
96,Everyone noticed the letting go in that moment.,sadness,1,0.83
97,The situation brought out deep felt regret.,regret,2,0.92
98,The situation brought out deep expressed anger.,anger,1,0.93
99,The situation brought out deep mourning.,sadness,1,0.92
100,It reflected a genuine feeling of grateful.,gratitude,3,0.92
101,Everyone noticed the afraid in that moment.,fear,1,0.92
102,The situation brought out deep sympathy.,empathy,2,0.92
103,They struggled with thankful but tried to stay composed.,gratitude,3,0.78
104,It reflected a genuine feeling of happy.,joy,1,0.95
105,It was a moment marked by anger.,anger,1,0.98
106,You could sense the calmness in their voice.,inner_peace,3,0.83
107,The situation brought out deep awe.,awe,3,0.95
108,They struggled with expressed fear but tried to stay composed.,fear,1,0.83
109,That experience left them with lasting loneliness.,loneliness,2,0.95
110,A sudden feeling of empathy filled their heart.,empathy,2,0.95
111,You could sense the empathy in their voice.,empathy,2,0.95
112,There was a clear sense of felt regret throughout the day.,regret,2,0.93
113,You could sense the loneliness in their voice.,loneliness,2,0.93
114,Everyone noticed the anger in that moment.,anger,1,0.93
115,Everyone noticed the felt regret in that moment.,regret,2,0.92
116,It reflected a genuine feeling of outrage.,anger,1,0.92
117,Everyone noticed the calmness in that moment.,inner_peace,3,0.85
118,Everyone noticed the expressed joy in that moment.,joy,1,0.95
119,There was a clear sense of gratitude throughout the day.,gratitude,3,0.95
120,Everyone noticed the sense of awe in that moment.,awe,3,0.93
121,It was a moment marked by expressed regret.,regret,2,0.95
122,There was a clear sense of sign of hope throughout the day.,hope,2,0.92
123,They experienced inner peace in a quiet moment.,inner_peace,3,0.92
124,That experience left them with lasting joy.,joy,1,0.95
125,You could sense the felt sympathy in their voice.,empathy,2,0.92
126,You could sense the expressed fear in their voice.,fear,1,0.92
127,A sudden feeling of celebration filled their heart.,joy,1,0.92
128,You could sense the delight in their voice.,joy,1,0.92
129,It reflected a genuine feeling of hope.,hope,2,0.95
130,You could sense the sad in their voice.,sadness,1,0.92
131,The situation brought out deep connectedness.,empathy,2,0.83
132,There was a clear sense of gratitude throughout the day.,gratitude,3,0.92
133,That experience left them with lasting hope.,hope,2,0.95
134,They experienced isolation in a quiet moment.,loneliness,2,0.83
135,A sudden feeling of loneliness filled their heart.,loneliness,2,0.93
136,You could sense the empathy in their voice.,empathy,2,0.92
137,They experienced human connection in a quiet moment.,empathy,2,0.83
138,They struggled with fear but tried to stay composed.,fear,1,0.72
139,They experienced heartbroken in a quiet moment.,sadness,1,0.93
140,A sudden feeling of sense of awe filled their heart.,awe,3,0.92
141,There was a clear sense of gratitude throughout the day.,gratitude,3,0.95
142,They struggled with mourning but tried to stay composed.,sadness,1,0.83
143,That experience left them with lasting anger.,anger,1,0.95
144,Everyone noticed the expressed regret in that moment.,regret,2,0.95
145,It was a moment marked by sadness.,sadness,1,0.95
146,The situation brought out deep celebration.,joy,1,0.92
147,They struggled with mercy but tried to stay composed.,empathy,2,0.83
148,It was a moment marked by peace of mind.,inner_peace,3,0.93
149,A sudden feeling of sadness filled their heart.,sadness,1,0.98
