id,sentence,emotion,layer,confidence_llama,confidence_mistral,avg_confidence
2,It reflected a genuine feeling of afraid.,fear,1,0.93,0.95,0.94
5,They experienced expressed regret in a quiet moment.,regret,2,0.95,0.95,0.95
6,You could sense the regret in their voice.,regret,2,0.95,0.95,0.95
7,That experience left them with lasting compassion.,compassion,3,0.92,0.95,0.935
8,The situation brought out deep human connection.,empathy,2,0.85,0.95,0.8999999999999999
9,That experience left them with lasting mercy.,compassion,3,0.92,0.95,0.935
10,A sudden feeling of gratitude filled their heart.,gratitude,3,0.92,0.95,0.935
11,It reflected a genuine feeling of sympathy.,empathy,2,0.93,0.95,0.94
13,It was a moment marked by deeply moved.,sadness,1,0.83,0.95,0.8899999999999999
18,There was a clear sense of expressed regret throughout the day.,regret,2,0.93,0.95,0.94
19,You could sense the felt regret in their voice.,regret,2,0.92,0.95,0.935
20,You could sense the isolation in their voice.,loneliness,2,0.92,0.95,0.935
23,The situation brought out deep awe.,awe,3,0.95,0.95,0.95
24,It reflected a genuine feeling of expressed regret.,regret,2,0.95,0.95,0.95
27,There was a clear sense of thankful throughout the day.,gratitude,3,0.92,0.95,0.935
29,There was a clear sense of frightened throughout the day.,fear,1,0.92,0.95,0.935
30,That experience left them with lasting acceptance.,inner_peace,3,0.85,0.95,0.8999999999999999
34,It reflected a genuine feeling of grief.,sadness,1,0.98,0.95,0.965
35,They experienced connectedness in a quiet moment.,inner_peace,3,0.92,0.95,0.935
36,That experience left them with lasting wonder.,awe,3,0.93,0.95,0.94
37,You could sense the calmness in their voice.,inner_peace,3,0.83,0.95,0.8899999999999999
40,They experienced joy in a quiet moment.,joy,1,0.95,0.95,0.95
41,It reflected a genuine feeling of expressed joy.,joy,1,0.95,0.95,0.95
42,Everyone noticed the felt regret in that moment.,regret,2,0.92,0.95,0.935
44,There was a clear sense of hope throughout the day.,hope,2,0.93,0.95,0.94
45,The situation brought out deep acceptance.,inner_peace,3,0.92,0.95,0.935
46,The situation brought out deep expressed sadness.,sadness,1,0.95,0.95,0.95
47,They experienced expressed hope in a quiet moment.,hope,2,0.95,0.95,0.95
49,Everyone noticed the celebration in that moment.,joy,1,0.92,0.95,0.935
50,You could sense the loneliness in their voice.,loneliness,2,0.92,0.95,0.935
55,It was a moment marked by sense of awe.,awe,3,0.93,0.95,0.94
56,It was a moment marked by expressed hope.,hope,2,0.97,0.95,0.96
57,A sudden feeling of thankful filled their heart.,gratitude,3,0.93,0.95,0.94
58,It was a moment marked by hope.,hope,2,0.95,0.95,0.95
59,Everyone noticed the regret in that moment.,regret,2,0.98,0.95,0.965
60,There was a clear sense of remorse throughout the day.,regret,2,0.92,0.95,0.935
61,They experienced hope in a quiet moment.,hope,2,0.92,0.95,0.935
62,You could sense the remorse in their voice.,regret,2,0.92,0.95,0.935
63,It was a moment marked by isolation.,loneliness,2,0.83,0.95,0.8899999999999999
