id,sentence,emotion,layer,confidence
0,You could sense the acceptance in their voice.,inner_peace,3,0.95
2,It reflected a genuine feeling of afraid.,fear,1,0.95
5,They experienced expressed regret in a quiet moment.,regret,2,0.95
6,You could sense the regret in their voice.,regret,2,0.95
7,That experience left them with lasting compassion.,compassion,3,0.95
8,The situation brought out deep human connection.,empathy,2,0.95
9,That experience left them with lasting mercy.,compassion,3,0.95
10,A sudden feeling of gratitude filled their heart.,gratitude,3,0.95
11,It reflected a genuine feeling of sympathy.,empathy,2,0.95
12,It was a moment marked by human connection.,gratitude,3,0.95
13,It was a moment marked by deeply moved.,sadness,1,0.95
18,There was a clear sense of expressed regret throughout the day.,regret,2,0.95
19,You could sense the felt regret in their voice.,regret,2,0.95
20,You could sense the isolation in their voice.,loneliness,2,0.95
23,The situation brought out deep awe.,awe,3,0.95
24,It reflected a genuine feeling of expressed regret.,regret,2,0.95
27,There was a clear sense of thankful throughout the day.,gratitude,3,0.95
29,There was a clear sense of frightened throughout the day.,fear,1,0.95
30,That experience left them with lasting acceptance.,inner_peace,3,0.95
34,It reflected a genuine feeling of grief.,sadness,1,0.95
35,They experienced connectedness in a quiet moment.,inner_peace,3,0.95
36,That experience left them with lasting wonder.,awe,3,0.95
37,You could sense the calmness in their voice.,inner_peace,3,0.95
40,They experienced joy in a quiet moment.,joy,1,0.95
41,It reflected a genuine feeling of expressed joy.,joy,1,0.95
42,Everyone noticed the felt regret in that moment.,regret,2,0.95
43,It was a moment marked by letting go.,sadness,1,0.95
44,There was a clear sense of hope throughout the day.,hope,2,0.95
45,The situation brought out deep acceptance.,inner_peace,3,0.95
46,The situation brought out deep expressed sadness.,sadness,1,0.95
47,They experienced expressed hope in a quiet moment.,hope,2,0.95
49,Everyone noticed the celebration in that moment.,joy,1,0.95
50,You could sense the loneliness in their voice.,loneliness,2,0.95
52,That experience left them with lasting connectedness.,inner_peace,3,0.85
55,It was a moment marked by sense of awe.,awe,3,0.95
56,It was a moment marked by expressed hope.,hope,2,0.95
57,A sudden feeling of thankful filled their heart.,gratitude,3,0.95
58,It was a moment marked by hope.,hope,2,0.95
59,Everyone noticed the regret in that moment.,regret,2,0.95
60,There was a clear sense of remorse throughout the day.,regret,2,0.95
61,They experienced hope in a quiet moment.,hope,2,0.95
62,You could sense the remorse in their voice.,regret,2,0.95
63,It was a moment marked by isolation.,loneliness,2,0.95
64,It reflected a genuine feeling of isolation.,loneliness,2,0.95
66,The situation brought out deep gratitude.,gratitude,3,0.95
67,A sudden feeling of felt sympathy filled their heart.,empathy,2,0.95
69,You could sense the happiness in their voice.,joy,1,0.95
70,You could sense the acceptance in their voice.,inner_peace,3,0.85
71,It reflected a genuine feeling of public anger.,anger,1,0.95
72,You could sense the isolation in their voice.,loneliness,2,0.95
73,They experienced letting go in a quiet moment.,inner_peace,3,0.95
74,You could sense the fear in their voice.,fear,1,0.95
75,They experienced compassion in a quiet moment.,compassion,3,0.95
77,They experienced mourning in a quiet moment.,sadness,1,0.95
78,It was a moment marked by angry.,anger,1,0.95
80,They experienced sign of hope in a quiet moment.,hope,2,0.95
81,The situation brought out deep loneliness.,loneliness,2,0.95
82,They experienced empathy in a quiet moment.,empathy,2,0.95
83,A sudden feeling of fear filled their heart.,fear,1,0.95
86,That experience left them with lasting deeply moved.,sadness,1,0.85
87,It was a moment marked by expressed gratitude.,gratitude,3,0.95
88,It was a moment marked by social isolation.,loneliness,2,0.95
89,That experience left them with lasting loneliness.,loneliness,2,0.95
91,It reflected a genuine feeling of public anger.,anger,1,0.95
92,Everyone noticed the compassionate in that moment.,compassion,3,0.95
95,A sudden feeling of felt regret filled their heart.,regret,2,0.95
96,Everyone noticed the letting go in that moment.,sadness,1,0.85
97,The situation brought out deep felt regret.,regret,2,0.95
98,The situation brought out deep expressed anger.,anger,1,0.95
99,The situation brought out deep mourning.,sadness,1,0.95
101,Everyone noticed the afraid in that moment.,fear,1,0.95
102,The situation brought out deep sympathy.,compassion,3,0.95
105,It was a moment marked by anger.,anger,1,0.95
106,You could sense the calmness in their voice.,inner_peace,3,0.95
107,The situation brought out deep awe.,awe,3,0.95
109,That experience left them with lasting loneliness.,loneliness,2,0.95
112,There was a clear sense of felt regret throughout the day.,regret,2,0.95
113,You could sense the loneliness in their voice.,loneliness,2,0.95
114,Everyone noticed the anger in that moment.,anger,1,0.95
115,Everyone noticed the felt regret in that moment.,regret,2,0.95
116,It reflected a genuine feeling of outrage.,anger,1,0.95
117,Everyone noticed the calmness in that moment.,inner_peace,3,0.95
118,Everyone noticed the expressed joy in that moment.,joy,1,0.95
120,Everyone noticed the sense of awe in that moment.,awe,3,1.0
121,It was a moment marked by expressed regret.,regret,2,0.95
124,That experience left them with lasting joy.,joy,1,0.95
126,You could sense the expressed fear in their voice.,fear,1,0.95
127,A sudden feeling of celebration filled their heart.,joy,1,0.95
128,You could sense the delight in their voice.,joy,1,0.95
129,It reflected a genuine feeling of hope.,hope,2,0.95
132,There was a clear sense of gratitude throughout the day.,gratitude,3,0.95
133,That experience left them with lasting hope.,hope,2,0.95
134,They experienced isolation in a quiet moment.,loneliness,2,0.95
135,A sudden feeling of loneliness filled their heart.,loneliness,2,0.95
136,You could sense the empathy in their voice.,empathy,2,0.95
137,They experienced human connection in a quiet moment.,inner_peace,3,0.85
143,That experience left them with lasting anger.,anger,1,0.95
144,Everyone noticed the expressed regret in that moment.,regret,2,0.95
145,It was a moment marked by sadness.,sadness,1,0.95
146,The situation brought out deep celebration.,joy,1,0.95
148,It was a moment marked by peace of mind.,inner_peace,3,0.95
149,A sudden feeling of sadness filled their heart.,sadness,1,0.95
151,A sudden feeling of furious filled their heart.,anger,1,0.95
152,It was a moment marked by sad.,sadness,1,0.95
153,It reflected a genuine feeling of isolation.,loneliness,2,0.95
154,The situation brought out deep frightened.,fear,1,0.95
155,It reflected a genuine feeling of peace of mind.,inner_peace,3,0.95
156,A sudden feeling of compassionate filled their heart.,compassion,3,0.95
157,You could sense the heartbroken in their voice.,sadness,1,0.95
161,It was a moment marked by felt sympathy.,empathy,2,0.95
163,There was a clear sense of sign of hope throughout the day.,hope,2,0.95
164,It was a moment marked by compassionate.,compassion,3,1.0
165,It was a moment marked by happy.,joy,1,0.95
166,They experienced social isolation in a quiet moment.,loneliness,2,0.95
167,There was a clear sense of frightened throughout the day.,fear,1,0.95
168,The situation brought out deep wonder.,awe,3,0.95
169,That experience left them with lasting letting go.,regret,2,0.85
170,Everyone noticed the expressed gratitude in that moment.,gratitude,3,0.95
171,It reflected a genuine feeling of expressed regret.,regret,2,0.95
172,That experience left them with lasting awe.,awe,3,0.95
175,A sudden feeling of panic filled their heart.,fear,1,0.95
176,It was a moment marked by grateful.,gratitude,3,0.95
177,They experienced hopeful in a quiet moment.,hope,2,0.95
179,That experience left them with lasting joy.,joy,1,0.95
180,It was a moment marked by heartbroken.,sadness,1,0.95
183,The situation brought out deep mourning.,sadness,1,0.95
184,You could sense the calmness in their voice.,inner_peace,3,0.95
185,They experienced awe in a quiet moment.,awe,3,0.95
186,The situation brought out deep terrified.,fear,1,0.95
187,That experience left them with lasting human connection.,gratitude,3,0.95
188,A sudden feeling of deeply moved filled their heart.,awe,3,0.95
189,That experience left them with lasting empathy.,empathy,2,0.95
190,Everyone noticed the frightened in that moment.,fear,1,0.95
191,A sudden feeling of social isolation filled their heart.,loneliness,2,0.95
192,You could sense the expressed gratitude in their voice.,gratitude,3,0.95
193,That experience left them with lasting hopeful.,hope,2,0.95
